Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_7.csv,0,0.4727272727272727,0.7878787878787878,0.5909090909090909,0.4209745404904332,0.9236867452026379,0.8526797272805731,0.5709331890984344,0.5151515151515151,0.6363636363636364,0.696969696969697,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8985032511348301,0.5151515151515151,0.6363636363636364,0.696969696969697,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9022328548644337,0.5666666666666667,0.6363636363636364,0.696969696969697,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8995215311004784,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_8.csv,0,0.3684210526315789,0.17073170731707318,0.23333333333333334,0.34595334231867453,0.6801359058366702,0.29036375239310785,0.2015104309159389,0.17073170731707318,0.21951219512195122,0.24390243902439024,0.43902439024390244,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,0.6649096045049021,0.17073170731707318,0.21951219512195122,0.24390243902439024,0.43902439024390244,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,0.7462013213685398,0.21212121212121215,0.23684210526315785,0.25,0.4390243902439024,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.9666666666666667,1.0,1.0,1.0,1,0.7432605905006419,
bookkeeper_IBk_BestFirst_NoSampling_noCostSensitive_9.csv,291,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_1.csv,0,1.0,0.7692307692307693,0.8695652173913043,0.8650380456547857,1.0,0.8695652173913044,0.7858947414494157,0.3706896551724138,0.46551724137931033,0.5344827586206896,0.5862068965517241,0.6293103448275862,0.6637931034482759,0.6982758620689655,0.7241379310344828,0.75,0.7672413793103449,0.7931034482758621,0.8448275862068966,0.9137931034482759,0.9568965517241379,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.28672438736910183,0.3706896551724138,0.46551724137931033,0.5344827586206896,0.5862068965517241,0.6293103448275862,0.6637931034482759,0.6982758620689655,0.7241379310344828,0.75,0.7672413793103449,0.7931034482758621,0.8448275862068966,0.9137931034482759,0.9568965517241379,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.24286473824629481,0.826923076923077,0.8307692307692308,0.8157894736842105,0.6923076923076922,0.575,0.4193548387096776,0.24,0.04761904761904745,0,0,0,0,0,0.16666666666666596,0.0,0.0,0.0,0.0,0.0,0.7717785843920145,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_10.csv,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_11.csv,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_12.csv,322,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_13.csv,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_2.csv,0,0.8837209302325582,0.8142857142857143,0.8475836431226765,0.7566646252193113,0.9804511278195488,0.8605022499637102,0.73368027557462,0.37410071942446044,0.4676258992805755,0.5467625899280576,0.6115107913669064,0.6690647482014388,0.7122302158273381,0.7482014388489209,0.7841726618705036,0.8057553956834532,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8201438848920863,0.8561151079136691,0.8920863309352518,0.9640287769784173,1.0,0.3420278907301063,0.37410071942446044,0.4676258992805755,0.5467625899280576,0.6115107913669064,0.6690647482014388,0.7122302158273381,0.7482014388489209,0.7841726618705036,0.8057553956834532,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8201438848920863,0.8561151079136691,0.8920863309352518,0.9640287769784173,1.0,0.28281574067205045,0.7878787878787878,0.7926829268292683,0.783132530120482,0.6610169491525424,0.5454545454545452,0.41666666666666674,0.2666666666666666,0.11999999999999988,0,0,0,0,0,0,1,0,0,0,0.0,0.7535024611889436,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_3.csv,0,0.7362637362637363,0.7362637362637363,0.7362637362637363,0.5867432422493584,0.9410476741303809,0.8138741090251983,0.6460381723539619,0.34065934065934067,0.45054945054945056,0.5274725274725275,0.5824175824175825,0.6373626373626373,0.6923076923076923,0.7362637362637363,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.8021978021978022,0.8461538461538461,0.8791208791208791,0.9120879120879121,0.945054945054945,0.978021978021978,1.0,0.6891036697469856,0.34065934065934067,0.45054945054945056,0.5274725274725275,0.5824175824175825,0.6373626373626373,0.6923076923076923,0.7362637362637363,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.8021978021978022,0.8461538461538461,0.8791208791208791,0.9120879120879121,0.945054945054945,0.978021978021978,1.0,0.6455149959151883,0.6199999999999999,0.6612903225806451,0.676056338028169,0.6794871794871795,0.6987951807228916,0.7159090909090908,0.7362637362637363,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.603448275862069,0.5714285714285715,0.5333333333333334,0.47619047619047605,0.4285714285714285,0.3749999999999999,0.4999999999999988,1,0.7403123192596877,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_4.csv,2,0.6551724137931034,0.7169811320754716,0.6846846846846847,0.507802047060581,0.9227140783744558,0.8070796460176991,0.6178170498856599,0.32075471698113206,0.39622641509433965,0.49056603773584906,0.5471698113207547,0.6226415094339622,0.6981132075471698,0.7924528301886793,0.8301886792452831,0.9056603773584906,0.9433962264150944,0.9622641509433962,0.9811320754716981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8408265613129393,0.32075471698113206,0.39622641509433965,0.49056603773584906,0.5471698113207547,0.6226415094339622,0.6981132075471698,0.7924528301886793,0.8301886792452831,0.9056603773584906,0.9433962264150944,0.9622641509433962,0.9811320754716981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8401757038338469,0.53125,0.5384615384615385,0.5777777777777777,0.58,0.6226415094339622,0.6981132075471698,0.7924528301886793,0.8301886792452831,0.9056603773584906,0.9433962264150944,0.9622641509433962,0.9811320754716981,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8152929493545183,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_5.csv,0,0.6078431372549019,0.5254237288135594,0.5636363636363636,0.48807860291358535,0.87211093990755,0.6748852459016393,0.498388972310864,0.3559322033898305,0.4406779661016949,0.4915254237288136,0.5423728813559322,0.5932203389830508,0.6440677966101694,0.7288135593220338,0.7966101694915254,0.8135593220338984,0.864406779661017,0.8983050847457628,0.9152542372881356,0.9491525423728814,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,0.6984900582358756,0.3559322033898305,0.4406779661016949,0.4915254237288136,0.5423728813559322,0.5932203389830508,0.6440677966101694,0.7288135593220338,0.7966101694915254,0.8135593220338984,0.864406779661017,0.8983050847457628,0.9152542372881356,0.9491525423728814,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,0.8007820113904907,0.4772727272727273,0.5,0.5087719298245614,0.5423728813559322,0.5932203389830508,0.6440677966101694,0.7288135593220338,0.7966101694915254,0.8135593220338984,0.864406779661017,0.8983050847457628,0.9152542372881356,0.9491525423728814,0.9830508474576272,1.0,1.0,1.0,1.0,1,0.7903657448706513,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_6.csv,0,0.8936170212765957,0.7368421052631579,0.8076923076923077,0.7286723738938008,0.9611723106215148,0.8414300985865303,0.7752290101230445,0.47368421052631576,0.5964912280701754,0.6842105263157895,0.7192982456140351,0.7543859649122807,0.8421052631578947,0.8596491228070176,0.9122807017543859,0.9298245614035088,0.9649122807017544,0.9649122807017544,0.9649122807017544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8419232141816466,0.47368421052631576,0.5964912280701754,0.6842105263157895,0.7192982456140351,0.7543859649122807,0.8421052631578947,0.8596491228070176,0.9122807017543859,0.9298245614035088,0.9649122807017544,0.9649122807017544,0.9649122807017544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9046541141701644,0.7297297297297296,0.7555555555555555,0.7647058823529411,0.7454545454545455,0.7543859649122807,0.8421052631578947,0.8596491228070176,0.9122807017543859,0.9298245614035088,0.9649122807017544,0.9649122807017544,0.9649122807017544,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8771929824561404,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_7.csv,0,0.4727272727272727,0.7878787878787878,0.5909090909090909,0.4209745404904332,0.9236867452026379,0.8526797272805731,0.5709331890984344,0.5151515151515151,0.6363636363636364,0.696969696969697,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8985032511348301,0.5151515151515151,0.6363636363636364,0.696969696969697,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9022328548644337,0.5666666666666667,0.6363636363636364,0.696969696969697,0.7878787878787878,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8995215311004784,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_8.csv,0,0.3684210526315789,0.17073170731707318,0.23333333333333334,0.34595334231867453,0.6801359058366702,0.29036375239310785,0.2015104309159389,0.17073170731707318,0.21951219512195122,0.24390243902439024,0.43902439024390244,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,0.6649096045049021,0.17073170731707318,0.21951219512195122,0.24390243902439024,0.43902439024390244,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,0.7462013213685398,0.21212121212121215,0.23684210526315785,0.25,0.4390243902439024,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.7804878048780488,0.8292682926829268,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.9666666666666667,1.0,1.0,1.0,1,0.7432605905006419,
bookkeeper_IBk_BestFirst_NoSampling_yesCostSensitive_9.csv,291,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_1.csv,0,1.0,0.7692307692307693,0.8695652173913043,0.8650380456547857,1.0,0.8695652173913044,0.7858947414494157,0.3706896551724138,0.46551724137931033,0.5344827586206896,0.5862068965517241,0.6293103448275862,0.6637931034482759,0.6982758620689655,0.7241379310344828,0.75,0.7672413793103449,0.7931034482758621,0.8448275862068966,0.9137931034482759,0.9568965517241379,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.28672438736910183,0.3706896551724138,0.46551724137931033,0.5344827586206896,0.5862068965517241,0.6293103448275862,0.6637931034482759,0.6982758620689655,0.7241379310344828,0.75,0.7672413793103449,0.7931034482758621,0.8448275862068966,0.9137931034482759,0.9568965517241379,0.9741379310344828,0.9913793103448276,1.0,1.0,1.0,0.24286473824629481,0.826923076923077,0.8307692307692308,0.8157894736842105,0.6923076923076922,0.575,0.4193548387096776,0.24,0.04761904761904745,0,0,0,0,0,0.16666666666666596,0.0,0.0,0.0,0.0,0.0,0.7717785843920145,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_10.csv,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_11.csv,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_12.csv,322,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_13.csv,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_2.csv,0,0.8837209302325582,0.8142857142857143,0.8475836431226765,0.7566646252193113,0.9804511278195488,0.8605022499637102,0.73368027557462,0.37410071942446044,0.4676258992805755,0.5467625899280576,0.6115107913669064,0.6690647482014388,0.7122302158273381,0.7482014388489209,0.7841726618705036,0.8057553956834532,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8201438848920863,0.8561151079136691,0.8920863309352518,0.9640287769784173,1.0,0.3420278907301063,0.37410071942446044,0.4676258992805755,0.5467625899280576,0.6115107913669064,0.6690647482014388,0.7122302158273381,0.7482014388489209,0.7841726618705036,0.8057553956834532,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.8201438848920863,0.8561151079136691,0.8920863309352518,0.9640287769784173,1.0,0.28281574067205045,0.7878787878787878,0.7926829268292683,0.783132530120482,0.6610169491525424,0.5454545454545452,0.41666666666666674,0.2666666666666666,0.11999999999999988,0,0,0,0,0,0,1,0,0,0,0.0,0.7535024611889436,
bookkeeper_IBk_GreedyStepwise_NoSampling_noCostSensitive_3.csv,0,0.7362637362637363,0.7362637362637363,0.7362637362637363,0.5867432422493584,0.9410476741303809,0.8138741090251983,0.6460381723539619,0.34065934065934067,0.45054945054945056,0.5274725274725275,0.5824175824175825,0.6373626373626373,0.6923076923076923,0.7362637362637363,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.8021978021978022,0.8461538461538461,0.8791208791208791,0.9120879120879121,0.945054945054945,0.978021978021978,1.0,0.6891036697469856,0.34065934065934067,0.45054945054945056,0.5274725274725275,0.5824175824175825,0.6373626373626373,0.6923076923076923,0.7362637362637363,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.8021978021978022,0.8461538461538461,0.8791208791208791,0.9120879120879121,0.945054945054945,0.978021978021978,1.0,0.6455149959151883,0.6199999999999999,0.6612903225806451,0.676056338028169,0.6794871794871795,0.6987951807228916,0.7159090909090908,0.7362637362637363,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.603448275862069,0.5714285714285715,0.5333333333333334,0.47619047619047605,0.4285714285714285,0.3749999999999999,0.4999999999999988,1,0.7403123192596877,
